EnchantId,ItemId
2686,23233
2687,23234
2688,23235
2689,23359
2690,23094
2691,23095
2692,23096
2693,23097
2694,23113
2695,23114
2696,23115
2697,23116
2698,23118
2699,23119
2700,23120
2701,23121
2703,23364
2704,23366
2705,23099
2706,23105
2707,23106
2708,23108
2709,23109
2710,23110
2711,23111
2725,24027
2726,24028
2727,24029
2728,24030
2729,24031
2730,24032
2731,24033
2732,24035
2733,24037
2734,24047
2735,24048
2736,24050
2737,24052
2738,24054
2739,24055
2740,24056
2741,24057
2742,24060
2743,24062
2744,24065
2752,23098
2753,24058
2754,24036
2755,23100
2756,24061
2757,23104
2758,24067
2759,24053
2760,23101
2761,24059
2762,23103
2763,24066
2764,24051
2765,24039
2827,25890
2828,25893
2829,25894
2830,25895
2831,25896
2832,25897
2833,25898
2834,25899
2835,25901
2891,27679
2894,27774
2896,27777
2897,27782
2898,27785
2899,27786
2911,28117
2912,28118
2913,28119
2914,28120
2915,28122
2916,28123
2917,27864
2918,27786
2921,27809
2922,27811
2923,27820
2924,27812
2942,28290
2943,28360
2944,28361
2945,28362
2946,28363
2947,22460
2948,22459
2949,28388
2950,28389
2956,28458
2957,28459
2958,28460
2959,28461
2960,28462
2961,28463
2962,28464
2963,28465
2964,28466
2965,28467
2966,28468
2967,28469
2968,28470
2969,28556
2970,28557
2971,28595
3045,30546
3046,30547
3047,30548
3048,30549
3049,30550
3050,30551
3051,30552
3052,30553
3053,30554
3054,30555
3055,30556
3056,30558
3057,30559
3058,30560
3059,30562
3060,30563
3061,30564
3062,30565
3063,30566
3064,30572
3065,30571
3066,30573
3067,30574
3068,30575
3069,30581
3070,30582
3071,30583
3072,30584
3073,30585
3074,30586
3075,30587
3076,30588
3077,30589
3078,30590
3079,30591
3080,30592
3081,30593
3082,30594
3083,30600
3084,30601
3085,30602
3086,30603
3087,30604
3088,30605
3089,30606
3090,30607
3091,30608
3099,31116
3100,31117
3101,31118
3103,30598
3104,31860
3105,31861
3106,31862
3107,31863
3108,31864
3109,31865
3110,31866
3111,31867
3112,31868
3113,31869
3115,32193
3116,32194
3117,32195
3118,32196
3119,32197
3120,32198
3121,32199
3122,32200
3123,32201
3124,32202
3125,32203
3126,32204
3127,32205
3128,32206
3129,32207
3130,32208
3131,32209
3132,32210
3133,32211
3134,32212
3135,32213
3136,32214
3137,32215
3138,32216
3139,32217
3140,32218
3141,32219
3142,32220
3143,32221
3144,32222
3145,32223
3146,32224
3147,32225
3148,32226
3154,32409
3155,32410
3156,32634
3157,32635
3158,32636
3159,32637
3160,32638
3161,32639
3162,32640
3163,32641
3197,32735
3201,32833
3202,32836
3206,33060
3207,33130
3208,33131
3209,33132
3210,33133
3211,33134
3212,33135
3213,33136
3214,33137
3215,33138
3216,33139
3217,33140
3218,33141
3219,33142
3220,33143
3221,33144
3226,33782
3261,34220
3262,34256
3264,34627
3268,34831
3270,35315
3271,35316
3272,35318
3274,35501
3275,35503
3280,35707
3281,35487
3282,35488
3283,35489
3284,35758
3285,35759
3286,35760
3287,35761
3318,37503
3335,38545
3336,38546
3337,38547
3338,38548
3339,38549
3340,38550