ID,Category,RecoveryTime,CategoryRecoveryTime
11,44,0,60000
16,0,30000,0
17,56,0,4000
43,0,600000,0
45,32,0,0
47,44,0,300000
56,32,0,0
68,1,10000,0
71,47,0,1000
72,88,0,12000
76,65,0,0
87,40,0,10000
89,0,30000,0
91,65,0,30000
100,44,0,15000
101,32,0,5000
103,0,60000,0
109,37,0,600000
110,0,60000,0
111,0,60000,0
112,0,60000,0
114,99,0,1000
120,50,0,10000
122,35,0,25000
124,52,0,10000
134,21,0,15000
179,99,0,1000
184,21,0,15000
246,51,0,10000
255,17,0,10000
260,1,0,0
271,0,0,120000
278,40,0,10000
279,40,0,10000
302,65,0,30000
355,82,0,10000
379,55,0,10000
408,270,0,20000
409,37,0,600000
410,37,0,600000
411,37,0,600000
421,85,0,6000
424,72,0,600000
430,59,0,60000
431,59,0,60000
432,59,0,60000
433,11,0,60000
434,11,0,60000
435,11,0,60000
436,4,0,60000
437,4,0,60000
438,4,0,60000
439,4,0,10000
440,4,0,10000
441,4,0,10000
450,0,30000,0
451,32,0,30000
454,0,30000,0
455,62,0,360000
457,22,0,10000
466,38,0,0
474,22,0,10000
498,37,0,300000
500,35,0,120000
503,37,0,600000
507,22,0,10000
509,22,0,10000
513,23,0,600000
543,56,0,30000
553,55,0,10000
555,23,0,600000
556,511,0,900000
568,1152,0,0
586,82,0,30000
590,99,0,1000
592,56,0,4000
593,22,0,60000
595,54,0,600000
599,99,0,1000
600,56,0,4000
603,0,60000,0
629,99,0,1000
630,99,0,1000
633,56,0,3600000
634,54,0,10000
637,21,0,10000
638,54,0,10000
640,17,0,10000
641,17,0,10000
642,37,0,300000
644,54,0,10000
646,21,0,10000
676,109,0,60000
677,41,0,240000
678,40,0,10000
679,40,0,10000
680,40,0,10000
684,60,0,60000
692,32,0,60000
694,40,0,120000
708,0,0,600000
711,35,0,6000
724,1145,0,600000
740,46,0,300000
742,0,600000,0
743,95,0,600000
745,34,0,0
748,40,0,10000
749,65,0,30000
751,40,0,10000
752,40,0,10000
753,65,0,30000
756,31,0,30000
757,31,0,60000
761,18,0,12000
762,18,0,12000
765,23,0,600000
769,85,0,0
773,51,0,10000
775,751,0,300000
776,99,0,1000
779,85,0,0
780,85,0,0
781,82,0,5000
800,1152,0,2000
801,24,0,0
805,29,0,0
818,97,0,300000
822,0,300000,0
823,0,300000,0
829,0,300000,0
830,0,300000,0
839,55,0,10000
841,17,0,10000
847,17,0,10000
849,0,30000,0
853,32,0,60000
855,22,0,10000
861,32,0,30000
863,37,0,600000
865,35,0,25000
867,22,0,10000
871,132,0,1800000
877,0,30000,0
879,19,0,15000
895,23,0,600000
903,17,0,10000
911,18,0,12000
917,99,0,1000
930,85,0,6000
932,62,0,360000
934,99,0,1000
937,18,0,12000
947,99,0,1000
949,99,0,1000
955,99,0,1000
957,18,0,12000
963,72,0,600000
965,18,0,30000
966,511,0,900000
968,23,0,600000
974,99,0,1000
986,99,0,1000
994,54,0,600000
998,22,0,60000
1000,99,0,1000
1009,133,25000,0
1018,21,0,30000
1019,21,0,30000
1020,37,0,300000
1022,20,0,300000
1024,17,0,10000
1028,21,0,10000
1030,17,0,10000
1044,0,20000,0
1048,21,0,10000
1050,35,600000,6000
1052,55,0,20000
1056,51,0,10000
1069,99,0,1000
1073,89,0,300000
1092,18,0,12000
1110,18,0,12000
1112,35,0,6000
1122,731,0,3600000
1124,35,0,6000
1127,11,0,60000
1129,11,0,60000
1131,11,0,60000
1133,59,0,60000
1134,350,0,300000
1135,59,0,60000
1137,59,0,60000
1161,0,600000,0
1179,55,0,30000
1457,99,0,1000
1485,351,0,0
1491,41,0,300000
1492,41,0,300000
1495,65,0,5000
1499,411,0,15000
1504,18,0,60000
1505,18,0,60000
1506,18,0,60000
1507,18,0,60000
1508,18,0,60000
1510,49,0,60000
1513,33,0,30000
1516,0,60000,0
1535,35,0,15000
1540,35,0,0
1542,37,0,300000
1543,0,15000,0
1628,40,0,10000
1629,40,0,10000
1635,0,300000,0
1645,65,0,30000
1648,65,0,30000
1663,65,0,30000
1664,65,0,30000
1665,65,0,30000
1671,88,0,12000
1672,88,0,12000
1680,891,0,10000
1698,50,0,180000
1707,99,0,1000
1708,40,30000,4000
1709,40,30000,4000
1719,132,0,1800000
1725,22,0,30000
1731,65,0,30000
1732,65,0,30000
1742,82,0,5000
1753,82,0,5000
1754,82,0,5000
1755,82,0,5000
1756,82,0,5000
1760,40,0,0
1766,88,0,10000
1767,88,0,10000
1768,88,0,10000
1769,88,0,10000
1770,73,0,30000
1776,33,0,10000
1777,33,0,10000
1784,38,0,10000
1785,38,0,10000
1786,38,0,10000
1787,38,0,10000
1794,74,0,300000
1795,74,0,300000
1796,74,0,300000
1797,74,0,300000
1798,74,0,300000
1812,65,0,30000
1813,65,0,30000
1814,65,0,30000
1815,65,0,30000
1849,55,0,30000
1850,44,0,300000
1856,39,0,300000
1857,39,0,300000
1864,95,0,600000
1866,40,0,10000
1868,41,0,300000
1869,41,0,180000
1870,41,0,300000
1918,40,0,10000
1920,65,0,30000
1921,65,0,30000
1922,65,0,30000
1933,65,0,60000
1940,24,0,0
1941,99,0,1000
1945,37,0,300000
1953,44,0,15000
1963,18,0,60000
1964,18,0,60000
1965,18,0,60000
1966,82,0,10000
1967,18,0,60000
1968,32,0,60000
1969,32,0,60000
1970,32,0,60000
1971,19,0,300000
1972,19,0,240000
1973,19,0,180000
1975,63,0,300000
1976,63,0,300000
1977,63,0,600000
1979,88,0,60000
1980,35,0,0
2023,4,0,60000
2024,4,0,10000
2063,56,0,600000
2064,56,0,600000
2094,0,300000,0
2128,98,0,900000
2129,98,0,900000
2130,63,0,900000
2131,63,0,900000
2136,19,0,8000
2137,19,0,8000
2138,19,0,8000
2139,88,0,30000
2351,37,0,600000
2353,37,0,600000
2354,37,0,600000
2370,4,0,60000
2427,65,0,30000
2428,65,0,30000
2429,65,0,30000
2430,65,0,30000
2431,65,0,30000
2457,47,0,1000
2458,47,0,1000
2459,47,0,3000
2460,47,0,3000
2463,47,0,150000
2480,76,0,0
2484,0,15000,0
2495,40,0,10000
2497,65,0,30000
2498,65,0,30000
2499,65,0,30000
2500,65,0,30000
2501,65,0,30000
2502,65,0,60000
2503,65,0,60000
2504,65,0,60000
2505,65,0,60000
2506,65,0,60000
2564,66,0,300000
2565,0,5000,0
2566,68,0,300000
2568,44,0,0
2569,44,0,0
2570,44,0,0
2597,4,0,60000
2598,4,0,60000
2599,4,0,60000
2600,4,0,60000
2601,21,0,20000
2602,21,0,15000
2606,19,0,6000
2607,19,0,6000
2608,19,0,6000
2609,19,0,6000
2610,19,0,6000
2627,40,0,10000
2628,40,0,10000
2629,40,0,10000
2630,40,0,10000
2638,11,0,60000
2639,11,0,60000
2640,11,0,60000
2642,11,0,60000
2643,85,0,10000
2644,11,0,60000
2646,11,0,60000
2647,32,0,60000
2649,82,0,5000
2651,1144,0,300000
2677,40,0,10000
2679,40,0,10000
2680,40,0,10000
2681,40,0,10000
2682,40,0,10000
2687,0,60000,0
2697,40,0,10000
2699,40,0,10000
2700,40,0,10000
2701,40,0,10000
2702,40,0,10000
2707,40,0,10000
2709,40,0,10000
2710,40,0,10000
2711,40,0,10000
2712,40,0,10000
2717,40,0,10000
2719,40,0,10000
2720,40,0,10000
2721,40,0,10000
2722,40,0,10000
2727,40,0,10000
2728,40,0,10000
2729,40,0,10000
2730,40,0,10000
2731,40,0,10000
2764,76,0,0
2768,99,0,1000
2770,99,0,1000
2771,99,0,1000
2783,99,0,1000
2800,56,0,3600000
2808,17,0,10000
2809,17,0,10000
2812,35,0,60000
2848,44,0,0
2849,68,0,300000
2850,44,0,0
2852,21,0,10000
2854,99,0,1000
2856,99,0,0
2860,85,0,6000
2861,35,0,30000
2864,99,0,1000
2867,17,0,10000
2878,33,0,30000
2880,32,0,0
2882,39,0,0
2887,99,0,1000
2888,99,0,1000
2894,99,0,1000
2895,99,0,1000
2922,65,0,30000
2924,65,0,30000
2925,65,0,30000
2944,691,0,180000
2951,35,0,6000
2973,40,0,6000
2983,44,0,300000
2984,44,0,0
3005,63,0,600000
3013,35,0,0
3015,35,0,0
3019,0,0,40000
3032,39,0,30000
3039,0,0,30000
3040,0,0,30000
3041,0,0,30000
3042,0,0,30000
3044,2,0,6000
3045,55,0,300000
3106,35,0,3000
3107,23,0,0
3109,32,0,10000
3129,50,0,0
3130,65,0,30000
3131,2,0,10000
3132,0,0,30000
3133,55,0,30000
3136,55,0,30000
3143,32,0,0
3145,42,0,15000
3146,51,0,30000
3147,40,0,0
3148,52,0,0
3149,55,0,30000
3150,18,0,30000
3151,55,0,30000
3169,37,0,0
3204,35,0,600000
3219,4,0,60000
3221,4,0,60000
3222,4,0,60000
3223,4,0,60000
3229,55,0,3000
3232,41,0,300000
3233,36,0,10000
3234,2,0,0
3235,21,0,0
3238,21,0,45000
3242,65,0,0
3247,65,0,30000
3248,21,0,0
3252,36,0,30000
3256,0,0,420000
3260,21,0,0
3261,18,0,0
3263,32,0,0
3264,36,0,0
3284,21,0,0
3288,36,0,0
3322,21,0,0
3332,51,0,10000
3335,36,0,180000
3338,21,0,0
3339,21,0,0
3358,18,0,0
3359,25,0,0
3360,36,0,0
3361,2,0,0
3368,25,0,0
3385,65,0,10000
3387,36,0,0
3388,18,0,0
3389,21,0,0
3391,65,0,0
3393,2,0,0
3394,2,0,0
3416,0,0,60000
3417,65,0,0
3418,21,0,0
3419,21,0,0
3427,36,0,0
3429,62,0,0
3436,36,0,420000
3442,22,0,0
3443,55,0,0
3446,65,0,70000
3466,73,0,30000
3477,38,0,0
3485,36,0,0
3486,38,0,10000
3490,21,0,0
3499,0,0,20000
3527,23,20000,0
3537,23,0,0
3542,34,0,60000
3547,0,0,25000
3551,65,0,0
3558,99,0,1000
3583,18,0,120000
3584,18,0,180000
3586,18,0,180000
3589,36,0,0
3591,4,0,0
3592,4,0,10000
3597,40,0,10000
3603,36,0,45000
3604,36,0,20000
3605,23,0,0
3609,36,0,0
3611,23,0,0
3629,0,0,120000
3631,55,0,0
3635,36,0,45000
3636,36,0,0
3637,21,0,0
3639,21,0,0
3648,37,0,0
3650,36,0,30000
3651,54,0,30000
3669,0,0,30000
3680,37,0,600000
3716,36,0,5000
3718,24,0,0
3720,0,0,10000
3742,21,0,10000
3743,40,0,10000
3747,56,0,4000
3822,24,0,0
3823,23,0,7000
3825,21,0,0
3826,21,0,0
3827,0,0,30000
4042,4,0,10000
4079,0,0,600000
4083,96,0,300000
4101,0,0,15000
4102,65,0,30000
4104,44,0,300000
4105,44,0,300000
4107,47,0,0
4108,47,0,0
4109,47,0,0
4111,47,0,0
4134,47,0,0
4135,47,0,0
4137,47,0,0
4139,47,0,0
4146,55,0,45000
4147,55,0,60000
4148,57,0,420000
4149,0,0,45000
4150,0,0,120000
4154,0,0,60000
4159,65,0,30000
4166,0,0,30000
4167,34,0,120000
4168,34,0,120000
4169,34,0,120000
4170,0,0,5000
4209,25,0,15000
4221,25,0,15000
4238,21,0,180000
4242,0,0,30000
4244,36,0,0
4245,36,0,0
4246,34,0,60000
4280,2,0,0
4281,85,0,60000
4286,18,0,120000
4312,46,0,0
4314,38,0,0
4320,18,0,45000
4321,36,0,5000
4511,0,10000,0
4520,50,0,180000
4526,0,0,120000
4538,0,0,300000
4539,0,0,300000
4629,0,0,300000
4805,36,0,180000
4938,49,0,0
4940,20,0,30000
4941,28,0,60000
4948,39,0,30000
4955,0,0,45000
4961,25,0,0
4979,0,0,25000
5004,11,0,60000
5005,11,0,60000
5006,11,0,60000
5007,11,0,60000
5010,0,0,60000
5019,351,0,0
5102,38,0,0
5105,18,0,30000
5106,33,0,0
5108,0,0,20000
5110,0,0,20000
5115,55,0,0
5116,0,12000,0
5119,64,0,3000
5120,64,0,30000
5121,64,0,30000
5122,64,0,30000
5123,64,0,30000
5124,64,0,30000
5151,38,0,0
5164,0,10000,0
5165,0,10000,0
5174,25,0,0
5197,44,0,0
5198,99,0,1000
5199,44,0,0
5208,18,0,0
5209,0,600000,0
5211,32,0,60000
5215,38,0,10000
5217,0,1000,0
5219,2,0,0
5223,0,600000,0
5229,0,60000,0
5236,37,0,0
5238,37,0,60000
5246,0,180000,0
5252,23,0,240000
5254,99,0,1000
5256,66,0,90000
5258,38,0,0
5271,65,0,0
5276,98,0,0
5277,66,0,300000
5280,99,0,0
5320,99,0,1000
5321,99,0,1000
5322,99,0,1000
5323,99,0,1000
5324,99,0,1000
5325,99,0,1000
5333,75,0,15000
5337,65,0,0
5363,47,0,0
5365,47,0,0
5366,47,0,0
5367,47,0,0
5384,0,30000,0
5391,37,0,300000
5401,2,0,0
5403,35,0,30000
5405,30,0,60000
5406,30,0,60000
5413,0,0,30000
5422,0,0,60000
5426,0,0,30000
5484,634,0,40000
5514,22,0,0
5515,99,0,0
5532,85,0,6000
5568,49,0,0
5569,40,0,10000
5573,37,0,300000
5588,32,0,60000
5589,32,0,60000
5592,26,0,3600000
5599,20,0,300000
5601,55,0,20000
5602,55,0,20000
5605,23,0,0
5614,19,0,15000
5615,19,0,15000
5627,33,0,30000
5665,102,0,0
5694,38,0,0
5701,87,0,0
5703,65,0,30000
5707,38,0,0
5708,85,0,0
5718,38,0,0
5719,38,0,0
5720,30,0,0
5723,30,0,0
5730,45,0,30000
5734,108,0,300000
5737,51,0,10000
5739,87,0,0
5759,39,0,30000
5781,51,0,45000
5858,37,60000,0
5862,99,0,1000
5916,38,0,120000
5917,22,0,0
5918,32,0,30000
5990,21,0,45000
6016,36,0,45000
6065,56,0,4000
6066,56,0,4000
6084,94,0,0
6131,35,0,25000
6134,99,0,1000
6135,99,0,1000
6139,44,0,30000
6143,56,0,30000
6146,51,0,10000
6148,23,0,600000
6174,41,0,10000
6175,41,0,10000
6178,44,0,15000
6184,67,0,60000
6186,65,0,0
6229,56,0,30000
6230,56,0,30000
6254,85,0,0
6255,2,0,0
6260,38,0,0
6261,38,0,0
6262,30,0,0
6263,30,0,0
6264,21,0,45000
6266,0,0,30000
6268,44,5000,0
6274,23,0,45000
6278,0,0,30000
6280,65,0,0
6281,65,0,0
6282,65,0,0
6283,65,0,0
6286,65,0,0
6295,35,0,6000
6297,35,0,0
6305,35,0,6000
6306,18,0,0
6311,65,0,0
6314,65,0,0
6315,65,0,0
6316,65,0,0
6317,65,0,0
6328,65,0,0
6331,65,0,0
6332,65,0,0
6333,65,0,0
6334,65,0,0
6343,49,0,4000
6344,22,0,30000
6346,0,30000,0
6353,631,0,60000
6360,82,0,4000
6376,104,0,1000
6378,104,0,1000
6390,45,0,30000
6391,45,0,30000
6392,45,0,30000
6409,32,0,30000
6410,11,0,60000
6432,32,0,0
6433,21,0,0
6434,99,0,60000
6435,65,0,6000
6443,65,0,0
6444,65,0,0
6445,65,0,0
6446,65,0,0
6447,65,0,0
6469,35,0,0
6487,31,0,60000
6490,23,0,20000
6507,99,0,1000
6512,79,0,10000
6513,79,0,10000
6523,37,0,0
6524,0,5000,0
6528,99,0,0
6530,36,0,30000
6533,34,0,0
6535,35,0,40000
6538,47,0,90000
6542,43,0,30000
6544,44,0,30000
6552,88,0,10000
6554,88,0,10000
6555,88,0,10000
6568,65,0,0
6570,109,0,60000
6572,65,0,5000
6574,65,0,5000
6576,47,0,30000
6580,42,0,30000
6595,40,10000,0
6605,99,0,0
6607,0,0,20000
6612,4,0,60000
6613,4,0,60000
6614,4,0,60000
6615,4,0,60000
6634,38,0,0
6664,66,0,10000
6685,18,0,30000
6711,44,0,360000
6724,37,0,0
6725,63,0,30000
6726,32,0,0
6728,99,0,0
6742,55,0,0
6749,0,0,15000
6768,82,0,10000
6772,32,0,5000
6783,38,0,10000
6789,633,0,120000
6793,0,1000,0
6795,82,0,10000
6798,32,0,60000
6814,18,0,0
6917,18,0,0
6921,44,0,180000
6922,32,0,0
6940,25,0,0
6942,0,0,10000
6950,0,0,30000
6957,99,0,5000
6960,99,0,1000
6975,0,60000,0
6976,0,60000,0
6977,0,60000,0
6982,0,0,30000
6996,49,0,60000
7020,0,30000,0
7033,1,0,0
7068,36,0,0
7069,99,0,1000
7074,0,0,5000
7090,39,0,30000
7092,0,0,15000
7093,0,0,20000
7101,63,0,0
7102,36,0,120000
7104,38,0,0
7106,12,0,7000
7108,99,0,1000
7121,37,0,0
7125,0,0,60000
7127,0,0,60000
7132,0,0,200000
7136,32,0,0
7137,44,0,0
7139,0,0,20000
7140,0,0,25000
7145,85,0,10000
7154,0,0,7000
7160,41,0,30000
7164,47,0,180000
7165,47,0,180000
7178,99,0,1000
7230,99,0,1000
7231,99,0,1000
7232,99,0,1000
7233,99,0,1000
7234,99,0,1000
7235,99,0,1000
7236,99,0,1000
7237,99,0,1000
7238,99,0,1000
7239,99,0,1000
7240,99,0,1000
7241,99,0,1000
7242,99,0,1000
7243,99,0,1000
7244,99,0,1000
7245,99,0,1000
7246,99,0,1000
7247,99,0,1000
7248,99,0,1000
7249,99,0,1000
7250,99,0,1000
7251,99,0,1000
7252,99,0,1000
7253,99,0,1000
7254,99,0,1000
7273,99,0,1000
7279,36,0,0
7290,99,0,1000
7291,11,0,60000
7331,99,0,1000
7342,85,0,0
7355,0,300000,0
7357,0,0,30000
7359,97,0,300000
7363,99,0,1000
7365,0,0,60000
7366,47,0,0
7371,44,0,25000
7377,88,0,10000
7379,65,0,5000
7383,37,0,0
7384,65,0,5000
7390,82,0,10000
7391,82,0,10000
7394,85,0,0
7396,4,0,0
7399,99,0,0
7400,40,0,120000
7402,40,0,120000
7482,19,0,0
7586,32,0,0
7587,32,0,0
7638,25,0,0
7645,99,0,0
7713,36,0,0
7737,11,0,60000
7744,0,120000,0
7806,21,0,5000
7807,21,0,5000
7808,21,0,5000
7809,36,0,5000
7810,36,0,5000
7811,36,0,5000
7813,82,0,4000
7814,73,0,12000
7815,40,0,12000
7816,40,0,12000
7822,38,0,0
7823,38,0,0
7825,38,0,0
7826,38,0,0
7844,99,0,1000
7870,37,0,0
7887,65,0,5000
7918,76,0,0
7919,76,0,0
7932,99,0,1000
7933,99,0,1000
7938,41,0,0
7960,31,0,0
7961,32,0,0
7966,99,0,1000
7974,38,0,10000
7992,51,0,10000
8041,39,0,0
8042,19,0,6000
8044,19,0,6000
8045,19,0,6000
8046,19,0,6000
8050,19,0,6000
8052,19,0,6000
8053,19,0,6000
8056,19,0,6000
8058,19,0,6000
8060,19,0,6000
8078,22,0,0
8082,38,0,0
8083,38,0,0
8084,38,0,0
8085,38,0,0
8092,19,0,8000
8102,19,0,8000
8103,19,0,8000
8104,19,0,8000
8105,19,0,8000
8106,19,0,8000
8122,43,0,30000
8124,43,0,30000
8138,18,0,0
8139,18,0,0
8141,25,0,0
8147,22,0,0
8148,99,0,1000
8150,22,0,0
8151,32,0,30000
8152,38,0,10000
8153,39,0,0
8177,230,0,15000
8198,49,0,4000
8204,49,0,4000
8205,49,0,4000
8215,55,0,0
8216,38,0,10000
8218,38,0,10000
8242,88,0,0
8255,85,0,0
8256,18,0,120000
8260,44,0,0
8269,21,0,0
8273,65,0,0
8275,18,0,0
8282,36,0,0
8285,49,0,25000
8292,85,0,0
8293,35,0,0
8295,19,0,0
8312,34,0,0
8355,40,0,0
8356,63,0,0
8358,25,0,0
8363,18,0,0
8374,85,0,0
8379,109,0,0
8382,18,0,0
8391,65,0,0
8412,19,0,8000
8413,19,0,8000
8429,31,0,10000
8457,56,0,30000
8458,56,0,30000
8461,56,0,30000
8462,56,0,30000
8479,31,0,10000
8480,31,0,10000
8481,31,0,10000
8492,50,0,10000
8498,35,0,15000
8499,35,0,15000
8595,25,0,15000
8599,21,0,0
8601,51,0,0
8621,40,0,0
8629,33,0,10000
8637,82,0,10000
8643,270,0,20000
8690,89,0,3600000
8696,44,0,300000
8697,44,0,0
8699,55,0,0
8715,99,0,30000
8736,31,0,0
8739,36,0,0
8788,0,10000,0
8806,18,0,0
8814,63,0,30000
8822,38,0,0
8832,0,10000,0
8833,21,0,0
8834,21,0,0
8852,36,0,0
8873,50,0,0
8874,38,0,10000
8876,65,0,0
8909,0,10000,0
8918,46,0,300000
8983,32,0,60000
8988,32,0,0
8989,49,0,0
8998,84,0,10000
9000,84,0,10000
9128,43,0,0
9177,11,0,60000
9220,0,0,10000
9252,30,0,60000
9253,30,0,60000
9257,56,0,3600000
9373,99,0,1000
9435,63,0,0
9438,37,0,0
9460,21,0,0
9512,60,0,60000
9572,37,60000,0
9573,50,0,0
9575,63,0,0
9578,82,0,30000
9579,82,0,30000
9592,82,0,30000
9612,36,0,0
9733,49,0,15000
9736,39,0,5000
9740,39,0,5000
9741,43,10000,5000
9754,85,0,0
9782,0,5000,0
9784,0,5000,0
9791,52,0,0
9821,44,0,300000
9845,0,1000,0
9846,0,1000,0
9862,46,0,300000
9863,46,0,300000
9874,63,0,0
9879,63,0,0
9892,84,0,10000
9906,54,0,0
9908,85,0,0
9913,38,0,10000
9949,31,0,30000
9956,25,0,0
9976,39,0,30000
9977,31,0,30000
10017,35,0,0
10018,35,0,0
10032,38,0,0
10052,30,0,60000
10057,30,0,60000
10058,30,0,60000
10059,0,60000,0
10060,0,180000,0
10073,19,0,0
10159,50,0,10000
10160,50,0,10000
10161,50,0,10000
10177,56,0,30000
10197,19,0,8000
10199,19,0,8000
10223,56,0,30000
10225,56,0,30000
10230,35,0,25000
10232,44,0,20000
10236,64,0,3000
10238,64,0,3000
10240,64,0,3000
10241,64,0,3000
10242,64,0,3000
10250,59,0,60000
10251,36,0,0
10253,35,0,0
10256,11,0,60000
10257,11,0,60000
10278,20,0,300000
10280,55,0,20000
10281,55,0,20000
10308,32,0,60000
10310,56,0,3600000
10312,19,0,15000
10313,19,0,15000
10314,19,0,15000
10318,35,0,60000
10319,35,0,60000
10326,33,0,30000
10332,40,0,10000
10333,40,0,10000
10368,56,0,0
10412,19,0,6000
10413,19,0,6000
10414,19,0,6000
10427,45,0,30000
10428,45,0,30000
10447,19,0,6000
10448,19,0,6000
10451,63,0,0
10472,19,0,6000
10473,19,0,6000
10591,19,0,6000
10592,19,0,6000
10605,85,0,6000
10618,99,0,1000
10651,36,0,0
10653,36,0,0
10667,1,0,210000
10668,1,0,210000
10669,1,0,210000
10692,1,0,210000
10693,1,0,210000
10732,21,0,0
10733,50,0,0
10851,109,0,0
10852,34,0,0
10855,51,0,0
10856,51,0,0
10887,88,0,0
10888,43,0,30000
10890,43,0,30000
10898,56,0,4000
10899,56,0,4000
10900,56,0,4000
10901,56,0,4000
10941,82,0,30000
10942,82,0,30000
10945,19,0,8000
10946,19,0,8000
10947,19,0,8000
10967,43,0,0
10968,43,0,0
11007,59,0,10000
11008,59,0,10000
11009,59,0,10000
11013,38,0,0
11020,36,0,0
11084,19,0,6000
11085,85,0,0
11087,21,0,0
11088,21,0,0
11113,250,0,45000
11129,1151,0,180000
11264,35,0,15000
